TeamId,TeamName,SubmissionDate,Score
3227333,pongba,"2019-07-10 16:16:00",3
3227364,"Kutsal Baran Özkurt","2019-05-30 16:33:00",3
3227371,"[ods.ai] Vladimir Larin","2019-05-29 20:36:00",3
3227379,Abhishek,"2019-05-29 21:53:00",3
3227386,KublaKahn,"2019-05-30 14:23:00",3
3227422,RustyB,"2019-06-10 00:57:00",3
3227423,DyChou,"2019-05-31 00:05:00",3
3227433,Peter,"2019-06-08 00:00:00",3
3227439,therealmathisk,"2019-08-20 23:06:00",3
3227440,T.Force,"2019-07-04 22:12:00",3
3227449,"Antoine | Beomki","2019-06-10 22:07:00",3
3227458,"Ayman Khalafallah","2019-05-29 22:02:00",3
3227503,"TuTu King","2019-06-23 00:08:00",3
3227520,ZFTurbo,"2019-07-08 18:07:00",3
3227524,Rsanchez,"2019-08-15 20:45:00",3
3227526,bbrzyckis,"2019-06-01 17:10:00",3
3227535,JohnW,"2019-05-31 19:00:00",3
3227536,"Dmitry Solntsev","2019-05-31 21:29:00",3
3227561,"Clément Lelong","2019-05-30 09:52:00",3
3227563,"Doe John","2019-06-04 13:56:00",3
3227569,Sebastian,"2019-06-10 12:30:00",3
3227570,"Raymond Gabriel","2019-05-31 06:30:00",3
3227578,XiaokangWang,"2019-07-31 23:36:00",3
3227586,Muhammad,"2019-07-07 21:34:00",3
3227592,"I had a B in Chem","2019-06-07 00:43:00",3
3227611,gavrand,"2019-05-29 21:46:00",3
3227647,"Dmitry Kozlov","2019-06-04 15:53:00",3
3227649,Kirill,"2019-06-23 10:42:00",3
3227658,StefanoBosisio,"2019-06-01 06:52:00",3
3227669,DDgg,"2019-06-04 17:11:00",3
3227675,"Ana M","2019-08-09 01:02:00",3
3227677,"Ollie Perrée","2019-05-30 10:16:00",3
3227687,Mike,"2019-05-30 10:27:00",3
3227707,WSanders,"2019-05-31 03:17:00",3
3227708,"Chia-Ta Tsai","2019-05-30 00:21:00",3
3227714,"Gokul Talele","2019-05-30 17:33:00",3
3227726,"Vlad Balanda","2019-05-30 04:01:00",3
3227729,"Greg Hamel","2019-08-19 15:07:00",3
3227730,"Max Halford","2019-06-01 07:37:00",3
3227732,"Alex Vlasov","2019-05-29 23:53:00",3
3227743,Holger,"2019-07-03 21:32:00",3
3227751,AlexKoch,"2019-06-06 11:37:00",3
3227768,"Bruce Cragin","2019-05-29 23:04:00",3
3227796,"Josh Mitton","2019-05-31 10:05:00",3
3227803,ALMOEDA,"2019-06-19 01:20:00",3
3227807,"Subham Kapoor","2019-05-30 10:56:00",3
3227813,"Branden | Spencer","2019-06-14 06:05:00",3
3227828,Maximiliano,"2019-05-30 15:17:00",3
3227852,"Mehdi Kashef","2019-06-14 21:32:00",3
3227855,"Danil Tsvirkun","2019-07-16 23:31:00",3
3227862,doncarlos999,"2019-06-02 08:02:00",3
3227872,ConradYen,"2019-06-01 01:17:00",3
3227882,I♥CHEMISTRY,"2019-06-16 01:03:00",3
3227894,Mickey,"2019-05-30 23:14:00",3
