private score,public score,date
5.08193,5.08161,04/07/19
1.99325,1.99216,13/07/19
2.93849,2.93589,21/08/19
1.99903,1.99898,21/08/19
1.99903,1.99898,19/08/19
1.95961,1.95899,18/06/19
2.10086,2.10030,17/06/19
1.61258,1.61110,18/07/19
3.11030,3.10996,06/07/19
1.50290,1.50310,29/06/19
1.39780,1.40163,02/08/19
1.34530,1.35005,16/07/19
1.27785,1.27896,25/06/19
1.27404,1.27696,03/06/19
1.94238,1.94181,03/06/19
2.85872,2.85861,03/06/19
1.99325,1.99216,03/06/19
3.00728,3.00806,03/06/19
3.46723,3.46799,18/06/19
3.36581,3.36702,18/06/19
2.23672,2.23867,05/06/19
1.26032,1.26345,15/07/19
1.23690,1.23975,30/05/19
1.23424,1.23700,31/05/19
1.18499,1.18752,31/05/19
1.17861,1.18219,04/07/19
1.17470,1.17842,04/06/19
1.19404,1.19680,04/06/19
1.14344,1.14784,06/06/19
1.21635,1.21745,03/06/19
1.14344,1.14784,01/06/19
1.21892,1.22059,31/05/19
1.23518,1.24209,31/05/19
2.77896,2.78133,31/05/19
0.82444,0.82344,08/08/19
0.82242,0.82376,07/08/19
0.82902,0.82839,07/08/19
0.86326,0.86260,07/08/19
2.26322,2.26444,06/08/19
0.82297,0.81775,19/08/19
0.82268,0.81739,18/08/19
1.27827,1.27937,16/08/19
2.89262,2.89501,14/08/19
0.81245,0.81400,24/07/19
0.79485,0.80853,09/06/19
0.79184,0.78710,26/08/19
0.75855,0.75350,31/05/19
0.73967,0.73972,30/05/19
0.68165,0.68322,30/07/19
0.94397,0.94397,14/07/19
0.95262,0.95761,12/07/19
0.87575,0.87759,10/07/19
0.87688,0.87923,07/07/19
3.72194,3.72326,06/07/19
0.89383,0.89500,05/07/19
0.84370,0.84567,05/07/19
0.84386,0.84837,04/07/19
0.94984,0.95248,03/07/19
1.04343,1.04666,01/07/19
1.04475,1.04815,30/06/19
0.66661,0.66320,11/08/19
0.65852,0.65708,28/07/19
0.78690,0.78425,07/07/19
1.20311,1.20591,27/06/19
1.20311,1.20591,22/06/19
0.67563,0.67805,21/06/19
